post_id,created_at,text,impressions,likes,replies,reposts,bookmarks,quotes,url,media_type,followers_count
1900000000000000000,2025-01-06 21:37:00,はじめまして。未経験からWebデザインを勉強中の会社員です。同じように挑戦する人と繋がりたくて発信を始めました。よろしくお願いします！,33,1,0,0,0,0,https://x.com/sample_creator/status/1900000000000000000,image,30
1900000000000009935,2025-01-07 08:07:00,今日からデザイン学習の記録を毎日投稿します。まずは1日1時間の勉強から。,273,7,0,0,2,0,https://x.com/sample_creator/status/1900000000000009935,image,30
1900000000000014192,2025-01-08 22:11:00,会社員をしながらスキルを身につけたい。時間がない中でどう学ぶかを試行錯誤していきます。,175,7,0,0,2,0,https://x.com/sample_creator/status/1900000000000014192,image,31
1900000000000022116,2025-01-10 12:47:00,おはようございます。朝活1日目。通勤前の30分でデザインの基礎を勉強しました。,93,3,0,0,0,0,https://x.com/sample_creator/status/1900000000000022116,,31
1900000000000024700,2025-01-11 13:24:00,デザイン学習3日目。今日は配色の基本を学びました。むずかしいけど楽しい。,324,6,0,0,1,0,https://x.com/sample_creator/status/1900000000000024700,,31
1900000000000026991,2025-01-13 20:48:00,はじめまして。未経験からWebデザインを勉強中の会社員です。同じように挑戦する人と繋がりたくて発信を始めました。よろしくお願いします！,162,6,0,0,1,0,https://x.com/sample_creator/status/1900000000000026991,,32
1900000000000029298,2025-01-14 09:25:00,今日からデザイン学習の記録を毎日投稿します。まずは1日1時間の勉強から。,96,2,0,0,0,0,https://x.com/sample_creator/status/1900000000000029298,,33
1900000000000036118,2025-01-15 09:12:00,会社員をしながらスキルを身につけたい。時間がない中でどう学ぶかを試行錯誤していきます。,145,5,0,0,1,0,https://x.com/sample_creator/status/1900000000000036118,image,34
1900000000000041128,2025-01-17 08:59:00,おはようございます。朝活1日目。通勤前の30分でデザインの基礎を勉強しました。,480,8,0,1,2,0,https://x.com/sample_creator/status/1900000000000041128,image,35
1900000000000047441,2025-01-18 07:44:00,デザイン学習3日目。今日は配色の基本を学びました。むずかしいけど楽しい。,29,1,0,0,0,0,https://x.com/sample_creator/status/1900000000000047441,image,36
1900000000000053596,2025-01-20 09:11:00,はじめまして。未経験からWebデザインを勉強中の会社員です。同じように挑戦する人と繋がりたくて発信を始めました。よろしくお願いします！,486,9,0,1,2,0,https://x.com/sample_creator/status/1900000000000053596,,37
1900000000000056883,2025-01-21 09:17:00,今日からデザイン学習の記録を毎日投稿します。まずは1日1時間の勉強から。,300,6,0,0,1,0,https://x.com/sample_creator/status/1900000000000056883,,39
1900000000000060149,2025-01-22 21:01:00,会社員をしながらスキルを身につけたい。時間がない中でどう学ぶかを試行錯誤していきます。,68,2,0,0,0,0,https://x.com/sample_creator/status/1900000000000060149,image,40
1900000000000068065,2025-01-24 20:34:00,おはようございます。朝活1日目。通勤前の30分でデザインの基礎を勉強しました。,522,9,0,1,2,0,https://x.com/sample_creator/status/1900000000000068065,image,42
1900000000000069253,2025-01-25 22:16:00,デザイン学習3日目。今日は配色の基本を学びました。むずかしいけど楽しい。,84,2,0,0,0,0,https://x.com/sample_creator/status/1900000000000069253,,44
1900000000000075061,2025-01-27 19:40:00,"未経験からデザインを学ぶ人がまずやるべき3ステップ
①基礎本を1冊だけ読む
②毎日30分手を動かす
③作ったものを公開する
完璧を目指さないのがコツです。",1025,25,1,2,7,0,https://x.com/sample_creator/status/1900000000000075061,,48
1900000000000084378,2025-01-28 08:25:00,"デザイン初心者がやりがちな失敗5選
・フォントを使いすぎる
・色を増やしすぎる
・余白を怖がる
・参考を見ない
・完成させない
私も全部やりました…",1258,34,3,3,10,0,https://x.com/sample_creator/status/1900000000000084378,,49
1900000000000088024,2025-01-29 21:19:00,無料で学べるデザイン教材まとめ。お金をかけなくても基礎は十分学べます。まずはここから始めるのがおすすめ。,1624,29,5,2,8,0,https://x.com/sample_creator/status/1900000000000088024,,49
1900000000000094971,2025-01-30 12:45:00,バナー模写の正しいやり方を解説します。ただ真似るだけじゃなく「なぜこの配置なのか」を言語化するのが上達の近道。,240,8,0,0,2,0,https://x.com/sample_creator/status/1900000000000094971,image,49
1900000000000103933,2025-01-31 08:18:00,配色に迷ったら60:30:10の法則。ベース60%、メイン30%、アクセント10%。これだけで一気に整います。,1705,31,5,1,9,0,https://x.com/sample_creator/status/1900000000000103933,,53
